job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
"Steuerberater in Weilbach, auf Wunsch mit","Steuerberater (m/w/d) in Weilbach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Weilbach,Arbeitnow,Full-time,FALSE,Weilbach,2026-05-14 06:30:34,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
Anwendungstechniker/-in Mess- und Löttechnik,Anwendungstechniker/-in Mess- und Löttechnik (m/w/d),Velbert,Arbeitnow,Full-time,FALSE,Velbert,2026-05-14 00:30:32,TRUE,FALSE,,,,,STANNOL,['r'],{'programming': ['r']}
Sales Manager,Sales Manager (m/f/x),Munich,Arbeitnow,Full-time,FALSE,Munich,2026-05-14 00:30:32,FALSE,FALSE,,,,,CRX Markets AG,,
Sales Manager,Sales Manager (m/f/x),Frankfurt am Main,Arbeitnow,Full-time,FALSE,Frankfurt am Main,2026-05-14 00:30:31,FALSE,FALSE,United States,,,,CRX Markets AG,,
Mitarbeiter Vertriebssteuerung & Reporting,Mitarbeiter Vertriebssteuerung & Reporting (m/w/d),Gütersloh,Arbeitnow,Internship,FALSE,Gütersloh,2026-05-13 23:30:26,TRUE,FALSE,,,,,NTI Deutschland GmbH,['r'],{'programming': ['r']}
Business Analyst Vertrieb,Business Analyst Vertrieb (m/w/d),Gütersloh,Arbeitnow,Internship,FALSE,Gütersloh,2026-05-13 23:30:26,TRUE,FALSE,,,,,NTI Deutschland GmbH,['r'],{'programming': ['r']}
Bankkaufmann als Kundenberater im Vertrieb für,"Bankkaufmann als Kundenberater (m/w/d) im Vertrieb für Bausparen / Baufinanzierung in Sparkassenkooperation auf selbständiger Basis (gem. §§ 84, 92 HGB)",Hofheim,Arbeitnow,Full-time,FALSE,Hofheim,2026-05-13 22:30:32,TRUE,TRUE,,,,,LBS-FinanzCenter Hofheim,['r'],{'programming': ['r']}
Online Marketing Manager,Online Marketing Manager (m/w/d),Berlin,Arbeitnow,Full-time,TRUE,Berlin,2026-05-13 21:30:25,TRUE,FALSE,,,,,Just Hiring,['r'],{'programming': ['r']}
Freelance Brand Managerin / Projektmanagerin,Freelance Brand Managerin / Projektmanagerin (m/w/d),Berlin,Arbeitnow,Contractor,TRUE,Berlin,2026-05-13 21:01:08,TRUE,FALSE,,,,,ivyclip,['r'],{'programming': ['r']}
Systemadministrator Microsoft 365 & Entra ID,Systemadministrator (m/w/d) Microsoft 365 & Entra ID,Jena,Arbeitnow,Internship,FALSE,Jena,2026-05-13 17:30:31,TRUE,FALSE,,year,27001,,Intershop Communications AG,"['azure', 'dart', 'linux', 'powershell', 'r']","{'cloud': ['azure'], 'programming': ['dart', 'powershell', 'r'], 'tools': ['linux']}"
"Generalist und Multi-Talent: Redaktion, Vertrieb,","Generalist und Multi-Talent: Redaktion, Vertrieb, Datenpflege (m|w|d)",Berlin,Arbeitnow,Contractor,FALSE,Berlin,2026-05-13 17:00:59,TRUE,FALSE,,,,,GITO mbH Verlag,['r'],{'programming': ['r']}
"Quereinsteiger: Redaktion, Administration,","Quereinsteiger: Redaktion, Administration, Vertrieb (m/w/d)",Berlin,Arbeitnow,Contractor,FALSE,Berlin,2026-05-14 09:59:02,TRUE,FALSE,,,,,GITO mbH Verlag,['r'],{'programming': ['r']}
Mobile Test Automation Engineer,Senior Mobile Test Automation Engineer,Munich,Arbeitnow,Full-time,TRUE,Munich,2026-05-13 17:00:58,FALSE,FALSE,,,,,Bragi,"['aws', 'ci/cd', 'gitlab ci', 'python']","{'cloud': ['aws'], 'devops': ['ci/cd', 'gitlab ci'], 'programming': ['python']}"
Grafikdesigner:in,Grafikdesigner:in (Werkstudent),Munich,Arbeitnow,Full-time,TRUE,Munich,2026-05-13 16:30:32,TRUE,TRUE,,,,,LPE Immobilien Management GmbH,['r'],{'programming': ['r']}
SAP® FI Berater mit Erfahrung als SAP®-Key-User,SAP® FI Berater (m/w/d) mit Erfahrung als SAP®-Key-User oder Buchhalter,Stuttgart,Arbeitnow,Internship,FALSE,Stuttgart,2026-05-13 16:30:31,TRUE,FALSE,,year,70469,,Software4Professionals GmbH & Co. KG,"['r', 'sap']","{'programming': ['r'], 'tools': ['sap']}"
AI Engineer,Senior AI Engineer / AI Technical Lead für Forschungsprojekt in Softwarefirma (w/m/d),Kamp-Lintfort,Arbeitnow,Full-time,FALSE,Kamp-Lintfort,2026-05-13 20:59:02,FALSE,FALSE,,,,,Coduct Solutions GmbH,"['machine learning', 'r']","{'data_science': ['machine learning'], 'programming': ['r']}"
Strategische:r Kundenbetreuer:in,Strategische:r Kundenbetreuer:in (m/w/d),Leipzig,Arbeitnow,Internship,TRUE,Leipzig,2026-05-13 16:30:30,TRUE,FALSE,,,,,BlueCommunity GmbH,['r'],{'programming': ['r']}
Werkstudent IT und Infrastruktur,Werkstudent IT und Infrastruktur (m/w/d),Leipzig,Arbeitnow,Internship,FALSE,Leipzig,2026-05-13 16:00:32,TRUE,FALSE,,,,,flex living GmbH,['r'],{'programming': ['r']}
Closer / Vertriebsexperte,Closer / Vertriebsexperte (m/w/d),Bad Homburg,Arbeitnow,Full-time,TRUE,Bad Homburg,2026-05-13 15:30:45,TRUE,TRUE,,,,,Auriva Capital,['r'],{'programming': ['r']}
AI Engineer,Senior AI Engineer / AI Technical Lead für Forschungsprojekt in Softwarefirma (w/m/d),Cologne,Arbeitnow,Full-time,FALSE,Cologne,2026-05-13 19:59:02,FALSE,FALSE,,,,,Coduct Solutions GmbH,"['machine learning', 'r']","{'data_science': ['machine learning'], 'programming': ['r']}"
"Application Engineer und Sales Support,","Application Engineer und Sales Support (m/w/d), UV-Desinfektion, Wasser & Abwasser",Günzburg,Arbeitnow,Internship,FALSE,Günzburg,2026-05-13 15:30:45,TRUE,FALSE,,year,162137,,Xylem,"['r', 'sap']","{'programming': ['r'], 'tools': ['sap']}"
Product Engineer,(Senior) Product Engineer (m/f/d),Hamburg,Arbeitnow,Full-time,TRUE,Hamburg,2026-05-13 15:30:45,TRUE,TRUE,,,,,1KOMMA5˚,"['api', 'ci/cd', 'figma', 'gcp', 'github actions', 'nestjs', 'next.js', 'react', 'typescript', 'vercel']","{'tools': ['api', 'figma'], 'devops': ['ci/cd', 'github actions'], 'cloud': ['gcp', 'vercel'], 'frameworks': ['nestjs', 'next.js', 'react'], 'programming': ['typescript']}"
Creative Team Lead,Creative Team Lead | 100% Remote - (m/w/d),Nordhorn,Arbeitnow,Full-time,TRUE,Nordhorn,2026-05-14 12:59:03,TRUE,FALSE,,,,,4creatives GmbH,"['go', 'r', 'slack']","{'programming': ['go', 'r'], 'tools': ['slack']}"
WEG-Verwalter / Immobilienverwalter,WEG-Verwalter / Immobilienverwalter (m/w/d),Coesfeld,Arbeitnow,Full-time,FALSE,Coesfeld,2026-05-13 15:30:44,FALSE,FALSE,,year,581524,,Parte Verwaltung GmbH,['r'],{'programming': ['r']}
Creative Project Manager in Vollzeit,Creative Project Manager in Vollzeit | 100% Remote - (m/w/d),Nordhorn,Arbeitnow,Full-time,TRUE,Nordhorn,2026-05-14 12:59:03,TRUE,FALSE,,,,,4creatives GmbH,"['go', 'r', 'slack']","{'programming': ['go', 'r'], 'tools': ['slack']}"
Sales Consultant - Vollzeit,Senior Sales Consultant - Vollzeit (German Speaking),Bad Krozingen,Arbeitnow,Full-time,FALSE,Bad Krozingen,2026-05-13 15:20:13,TRUE,TRUE,,,,,Swiss Life Select,['r'],{'programming': ['r']}
Software Quality Engineer in Tech & Data Team,(Senior) Software Quality Engineer (f/x/m) in Tech & Data Team,Berlin,Arbeitnow,Internship,TRUE,Berlin,2026-05-13 15:20:13,TRUE,TRUE,,,,,Thomann.io,"['agile', 'go', 'javascript', 'typescript']","{'tools': ['agile'], 'programming': ['go', 'javascript', 'typescript']}"
Werkstudent People & Culture,Werkstudent People & Culture (gn),Rottendorf,Arbeitnow,Internship,FALSE,Rottendorf,2026-05-13 15:20:13,TRUE,FALSE,,,,,LichtBlick eMobility GmbH,"['r', 'sap']","{'programming': ['r'], 'tools': ['sap']}"
